keyword_id,phrase,normalized_phrase,occurrences,seed_terms,source_ids,request_ids
7efeaf3d5dff1de93f2b,"""42nd Street"" Chorus","""42nd street"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
af15f1ecee12de33479d,"""Amar"" Chorus","""amar"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
02e801a68093d5150868,"""Andaz"" Chorus","""andaz"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
a08d1d17415c40321725,"""Angrakshak"" Chorus","""angrakshak"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
cddba08bc5f061f32138,"""Anhonee"" Chorus","""anhonee"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
438f5927d66c844fe049,"""Army"" Chorus","""army"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
51f4be01ec6aa5167183,"""Awāra"" Chorus","""awāra"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
677e166f64963b1c442e,"""Baazi (1994)"" Chorus","""baazi (1994)"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
9ab8eb0fbb489559ed45,"""Bhavani Junction"" Chorus","""bhavani junction"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
6807f847f2d85c9cc3ee,"""Chaahat Ek Nasha"" Chorus","""chaahat ek nasha"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
f214bb1c37290a8c2526,"""Chaalbaaz"" Chorus","""chaalbaaz"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
48857f31404066da38ff,"""Chauraha"" Chorus","""chauraha"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
8d7b8808e1f214a73e79,"""Cheetah"" Chorus","""cheetah"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
445d57a60b445da5c9a9,"""Dames"" Chorines","""dames"" chorines",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
23e3b01d7efe4898fcd1,"""Dames"" Chorus","""dames"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
43ef3a84f556fc331f5d,"""Dharmatma"" Chorus","""dharmatma"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
fb3ef0c13267245a371e,"""Dinosaur Planet"" Chorus","""dinosaur planet"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
6e2c55d40f4d7a501092,"""Dirlada"" Chorus","""dirlada"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
425d428a6d7e4e43dc1f,"""Double Gadbad"" Chorus","""double gadbad"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
d7ac680e4a2c37880477,"""Fashions of 1934"" Chorines","""fashions of 1934"" chorines",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
8d2d332dab270b17ba19,"""Footlight Parade"" Chorus","""footlight parade"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
998e92559c567e4dce40,"""Ghayal"" Chorus","""ghayal"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
048359a205d1c91d60ee,"""Gold Diggers of 1933"" Chorus","""gold diggers of 1933"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
d6419f5ff942e074e5c2,"""Gold Diggers of 1935"" Chorines","""gold diggers of 1935"" chorines",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
ab0c9d755b0c148c673f,"""Gold Diggers of 1935"" Chorus","""gold diggers of 1935"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
eb3c91723ffa80e03be7,"""Gold Diggers of 1937"" Chorus","""gold diggers of 1937"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
08ff10ac22e6ae89bb94,"""Gundaraj"" Chorus","""gundaraj"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
f742da1fea69d7e45885,"""Higher And Higher"" Cast","""higher and higher"" cast",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
3234b5081caac6f5a9c5,"""Higher And Higher"" Studio Orchestra","""higher and higher"" studio orchestra",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
d68442fb3123f82359b0,"""In Caliente"" Chorus","""in caliente"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
5fe070f26157e0d7f161,"""Jane Anjane"" Chorus","""jane anjane"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
1c50fa78e71c19c27d94,"""Jewel Thief"" Chorus","""jewel thief"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
d1b06da995a518711d2e,"""Laadla"" Chorus","""laadla"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
2344cf246fc0582ae92f,"""Li'l Abner"" Chorus","""li'l abner"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
d853d051f57bb5e76c28,"""Machine Gun Kelly"" Studio Orchestra","""machine gun kelly"" studio orchestra",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
383ecc8a25fd2739eef4,"""Madam"" Chorus","""madam"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
7e6d504827783414cdca,"""Manchali"" Chorus","""manchali"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
b3f220f00fe31722eaf1,"""Na Tum Jaano Na Hum"" Chorus","""na tum jaano na hum"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
c72fb67102d5a97bc007,"""Narsaiyyanee Hundi"" Chorus","""narsaiyyanee hundi"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
24de3714a00860fdd7de,"""Night Of The Demon"" Studio Orchestra","""night of the demon"" studio orchestra",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
b62e23a01feb22d124f3,"""Pathar Ke Insan"" Chorus","""pathar ke insan"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
96efe6476f319936d474,"""Preetam"" Chorus","""preetam"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
dde67239d1c449b95c2d,"""Rakhwala"" Chorus 2","""rakhwala"" chorus 2",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
653c555923e744fed60d,"""Sanam Teri Kasam"" Chorus","""sanam teri kasam"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
821341a2a7ef18e8e0a1,"""Shiva"" Chorus","""shiva"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
543d5485873679edfead,"""Shree 420"" Chorus","""shree 420"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
e9f714d0d2ad2b9a4cee,"""Silsila"" Chorus","""silsila"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
7d5c5f63ac26a1c4c135,"""The Abominable Snowman"" Studio Orchestra","""the abominable snowman"" studio orchestra",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
9cc8cc859c00230c55c5,"""The Burning Train"" Chorus","""the burning train"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
5071f1869092a4349933,"""The Deadly Mantis"" Studio Orchestra","""the deadly mantis"" studio orchestra",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
88b395782074740b8b1a,"""The Great Gambler Train"" Chorus","""the great gambler train"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
871e45894b90eb9247be,"""The Indian Tomb"" Studio Orchestra","""the indian tomb"" studio orchestra",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
79140355a4a8afac7ddc,"""Wonder Bar"" Chorus","""wonder bar"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
2e3f98bd3d09157ebb3e,"""Yaarana"" Chorus","""yaarana"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
4b2071ca3d4ed47bfc96,"""Οροπέδιο"" Chorus","""οροπέδιο"" chorus",1,espresso machine,musicbrainz-artist,7cf5d141c178b2420d9b
